writer_label,writer_target,k,condition_id,memory_observations,semantic_fidelity_rate,authorization_error_rate,apparent_authority_rate,lost_authority_rate,mean_semantic_field_errors,mean_overgrant_fields,mean_undergrant_fields,deterministic_scope
Grok 4.3,grok_4_3_openrouter,1,one_shot_typed,12,0.75,0.0,0.0,0.0,0.25,0.0,0.0,typed_only
Grok 4.3,grok_4_3_openrouter,1,incremental_typed,12,0.3333333333333333,0.5,0.5,0.0,1.6666666666666667,1.4166666666666667,0.08333333333333333,typed_only
Grok 4.3,grok_4_3_openrouter,1,typed_pooled,24,0.5416666666666666,0.25,0.25,0.0,0.9583333333333334,0.7083333333333334,0.041666666666666664,typed_only
Grok 4.3,grok_4_3_openrouter,2,one_shot_typed,12,0.75,0.0,0.0,0.0,0.25,0.0,0.0,typed_only
Grok 4.3,grok_4_3_openrouter,2,incremental_typed,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,1.4166666666666667,1.1666666666666667,0.16666666666666666,typed_only
Grok 4.3,grok_4_3_openrouter,2,typed_pooled,24,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,typed_only
Grok 4.3,grok_4_3_openrouter,4,one_shot_typed,12,0.75,0.0,0.0,0.0,0.25,0.0,0.0,typed_only
Grok 4.3,grok_4_3_openrouter,4,incremental_typed,12,0.5,0.3333333333333333,0.3333333333333333,0.0,1.25,0.9166666666666666,0.25,typed_only
Grok 4.3,grok_4_3_openrouter,4,typed_pooled,24,0.625,0.16666666666666666,0.16666666666666666,0.0,0.75,0.4583333333333333,0.125,typed_only
Grok 4.3,grok_4_3_openrouter,8,one_shot_typed,12,0.75,0.0,0.0,0.0,0.25,0.0,0.0,typed_only
Grok 4.3,grok_4_3_openrouter,8,incremental_typed,12,0.5,0.3333333333333333,0.3333333333333333,0.0,1.1666666666666667,0.8333333333333334,0.25,typed_only
Grok 4.3,grok_4_3_openrouter,8,typed_pooled,24,0.625,0.16666666666666666,0.16666666666666666,0.0,0.7083333333333334,0.4166666666666667,0.125,typed_only
Kimi K2.6,kimi_baseten,1,one_shot_typed,12,0.75,0.0,0.0,0.0,0.25,0.0,0.0,typed_only
Kimi K2.6,kimi_baseten,1,incremental_typed,12,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.08333333333333333,2.0833333333333335,1.5,0.4166666666666667,typed_only
Kimi K2.6,kimi_baseten,1,typed_pooled,24,0.4583333333333333,0.3333333333333333,0.2916666666666667,0.041666666666666664,1.1666666666666667,0.75,0.20833333333333334,typed_only
Kimi K2.6,kimi_baseten,2,one_shot_typed,12,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0,0.25,0.25,0.0,typed_only
Kimi K2.6,kimi_baseten,2,incremental_typed,12,0.4166666666666667,0.5,0.5,0.0,1.5833333333333333,1.0,0.4166666666666667,typed_only
Kimi K2.6,kimi_baseten,2,typed_pooled,24,0.6666666666666666,0.2916666666666667,0.2916666666666667,0.0,0.9166666666666666,0.625,0.20833333333333334,typed_only
Kimi K2.6,kimi_baseten,4,one_shot_typed,12,0.6666666666666666,0.0,0.0,0.0,0.5,0.16666666666666666,0.08333333333333333,typed_only
Kimi K2.6,kimi_baseten,4,incremental_typed,12,0.5,0.4166666666666667,0.4166666666666667,0.0,1.4166666666666667,0.9166666666666666,0.4166666666666667,typed_only
Kimi K2.6,kimi_baseten,4,typed_pooled,24,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.9583333333333334,0.5416666666666666,0.25,typed_only
Kimi K2.6,kimi_baseten,8,one_shot_typed,12,0.6666666666666666,0.0,0.0,0.0,0.5,0.16666666666666666,0.08333333333333333,typed_only
Kimi K2.6,kimi_baseten,8,incremental_typed,12,0.5,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.75,0.3333333333333333,typed_only
Kimi K2.6,kimi_baseten,8,typed_pooled,24,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.9166666666666666,0.4583333333333333,0.20833333333333334,typed_only
GLM 5.2,glm_5_2_baseten,1,one_shot_typed,12,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,0.4166666666666667,0.25,typed_only
GLM 5.2,glm_5_2_baseten,1,incremental_typed,12,0.5,0.4166666666666667,0.4166666666666667,0.0,1.25,0.9166666666666666,0.25,typed_only
GLM 5.2,glm_5_2_baseten,1,typed_pooled,24,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,1.0416666666666667,0.6666666666666666,0.25,typed_only
GLM 5.2,glm_5_2_baseten,2,one_shot_typed,12,0.5833333333333334,0.0,0.0,0.0,1.0833333333333333,0.5833333333333334,0.3333333333333333,typed_only
GLM 5.2,glm_5_2_baseten,2,incremental_typed,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,1.3333333333333333,0.8333333333333334,0.4166666666666667,typed_only
GLM 5.2,glm_5_2_baseten,2,typed_pooled,24,0.5,0.20833333333333334,0.20833333333333334,0.0,1.2083333333333333,0.7083333333333334,0.375,typed_only
GLM 5.2,glm_5_2_baseten,4,one_shot_typed,12,0.5833333333333334,0.0,0.0,0.0,1.0833333333333333,0.5833333333333334,0.3333333333333333,typed_only
GLM 5.2,glm_5_2_baseten,4,incremental_typed,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,1.3333333333333333,0.8333333333333334,0.4166666666666667,typed_only
GLM 5.2,glm_5_2_baseten,4,typed_pooled,24,0.5,0.20833333333333334,0.20833333333333334,0.0,1.2083333333333333,0.7083333333333334,0.375,typed_only
GLM 5.2,glm_5_2_baseten,8,one_shot_typed,12,0.5,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.4166666666666667,typed_only
GLM 5.2,glm_5_2_baseten,8,incremental_typed,12,0.5,0.3333333333333333,0.3333333333333333,0.0,1.1666666666666667,0.75,0.3333333333333333,typed_only
GLM 5.2,glm_5_2_baseten,8,typed_pooled,24,0.5,0.16666666666666666,0.16666666666666666,0.0,1.25,0.7083333333333334,0.375,typed_only
