stage,metric,contrast,writer_target,writer,executor_target,executor,estimate_pp,ci_lower_pp,ci_upper_pp,paired_units,case_clusters
executor,authorized_use,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,0.0,2.083333333333333,144,12
executor,authorized_use,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-1.3888888888888888,-4.861111111111111,1.3888888888888888,144,12
executor,authorized_use,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,0.6944444444444444,-1.3888888888888888,2.7777777777777777,144,12
executor,authorized_use,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,deepseek_baseten,DeepSeek V4 Pro,-3.472222222222222,-9.027777777777777,0.6944444444444444,144,12
executor,authorized_use,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,deepseek_baseten,DeepSeek V4 Pro,6.25,2.083333333333333,11.11111111111111,144,12
executor,authorized_use,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,0.0,-4.861111111111111,4.861111111111111,144,12
executor,authorized_use,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,2.083333333333333,-2.083333333333333,6.25,144,12
executor,unauthorized_submission,l1-l0,glm_5_2_baseten,GLM 5.2,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l2-l1,glm_5_2_baseten,GLM 5.2,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l1-l0,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l2-l1,glm_5_2_baseten,GLM 5.2,gptoss_baseten,GPT-OSS-120B,-0.0,-2.083333333333333,2.083333333333333,144,12
executor,unauthorized_submission,l1-l0,grok_4_3_openrouter,Grok 4.3,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l2-l1,grok_4_3_openrouter,Grok 4.3,deepseek_baseten,DeepSeek V4 Pro,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l2-l1,grok_4_3_openrouter,Grok 4.3,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,kimi_baseten,Kimi K2.6,deepseek_baseten,DeepSeek V4 Pro,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l2-l1,kimi_baseten,Kimi K2.6,deepseek_baseten,DeepSeek V4 Pro,-0.6944444444444444,-2.083333333333333,-0.0,144,12
executor,unauthorized_submission,l1-l0,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l2-l1,kimi_baseten,Kimi K2.6,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,deepseek_baseten,DeepSeek V4 Pro,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,deepseek_baseten,DeepSeek V4 Pro,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l2-l1,nemotron_3_ultra_baseten,Nemotron 3 Ultra,gptoss_baseten,GPT-OSS-120B,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,deepseek_baseten,DeepSeek V4 Pro,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,deepseek_baseten,DeepSeek V4 Pro,-0.0,-0.0,-0.0,144,12
executor,unauthorized_submission,l1-l0,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,0.6944444444444444,-0.0,2.083333333333333,144,12
executor,unauthorized_submission,l2-l1,qwen_plus_0728_openrouter,Qwen Plus,gptoss_baseten,GPT-OSS-120B,-0.6944444444444444,-2.083333333333333,-0.0,144,12
