authorizing_record_id,canonical_authorized,canonical_reason,case_id,changed,condition_id,dimension,domain,event_ids,family,memory_authorized,memory_format,memory_id,memory_reason,pair_id,probe_id,profile_id,raw_event_types,retained_after_failed_update,retained_from_block_index,run_id,source_run,state_id,state_status,triggering_event_type,update_index,write_mode,writer,writer_model,writer_provider,writer_run_id,writer_seed,writer_target
auth_initial,false,no_matching_authorization:auth_initial=category_out_of_scope,procurement_v1_staffing_category_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_staffing_category_narrowing,true,typed,mem_45ee176fded77b8b9ce5886e,authorized:auth_initial,procurement_v1_staffing_category_narrowing_category,procurement_v1_staffing_category_narrowing_category_out,profile_b323829fa50a25a5ce48ab22,[],false,5,procurement:nemotron_3_ultra_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-005257-869522__authorization-memory-writer__procurement-v1-transfer-nemotron-3-ultra,state_48f2bf220bb8bf75c2b450a8,accepted,non_authorization_update,5,incremental,Nemotron 3 Ultra,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B,baseten,0,20260719,nemotron_3_ultra_baseten
auth_print,false,no_matching_authorization:auth_print=amount_out_of_scope,procurement_v1_print_budget_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_print_budget_narrowing,true,typed,mem_92bed7e7851867d7bda8e9e5,authorized:auth_print,procurement_v1_print_budget_narrowing_amount,procurement_v1_print_budget_narrowing_amount_out,profile_9718e4d02452c45785c13bfb,[],false,4,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_bc820ef33ae1999448c977ac,accepted,non_authorization_update,4,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_print,false,no_matching_authorization:auth_print=category_out_of_scope,procurement_v1_print_budget_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_print_budget_narrowing,true,typed,mem_92bed7e7851867d7bda8e9e5,authorized:auth_print,procurement_v1_print_budget_narrowing_category,procurement_v1_print_budget_narrowing_category_out,profile_9718e4d02452c45785c13bfb,[],false,4,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_bc820ef33ae1999448c977ac,accepted,non_authorization_update,4,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_cloud_01,false,no_matching_authorization:auth_cloud_01=amount_out_of_scope,procurement_v1_cloud_spend_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_cloud_spend_narrowing,true,typed,mem_6f5f36f881f4d42b759c682e,authorized:auth_cloud_01,procurement_v1_cloud_spend_narrowing_amount,procurement_v1_cloud_spend_narrowing_amount_out,profile_73c9fd74faf55a4c98eaea4f,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_b9eb826b44b9c34142625c74,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_cloud_01,false,no_matching_authorization:auth_cloud_01=category_out_of_scope,procurement_v1_cloud_spend_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_cloud_spend_narrowing,true,typed,mem_6f5f36f881f4d42b759c682e,authorized:auth_cloud_01,procurement_v1_cloud_spend_narrowing_category,procurement_v1_cloud_spend_narrowing_category_out,profile_73c9fd74faf55a4c98eaea4f,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_b9eb826b44b9c34142625c74,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_freight,false,no_matching_authorization:auth_freight=amount_out_of_scope,procurement_v1_freight_vendor_change,true,incremental_typed,amount,procurement,[],procurement_v1_freight_vendor_change,true,typed,mem_042ed0dbc02a9257e3b5e855,authorized:auth_freight,procurement_v1_freight_vendor_change_amount,procurement_v1_freight_vendor_change_amount_out,profile_f03a3a0634141562e6fd04f3,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_6b78ba4161f9f625d8533db7,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_freight,false,no_matching_authorization:auth_freight=category_out_of_scope,procurement_v1_freight_vendor_change,true,incremental_typed,category,procurement,[],procurement_v1_freight_vendor_change,true,typed,mem_042ed0dbc02a9257e3b5e855,authorized:auth_freight,procurement_v1_freight_vendor_change_category,procurement_v1_freight_vendor_change_category_out,profile_f03a3a0634141562e6fd04f3,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_6b78ba4161f9f625d8533db7,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_parts,false,no_matching_authorization:auth_parts=amount_out_of_scope,procurement_v1_spare_parts_time_shift,true,incremental_typed,amount,procurement,[],procurement_v1_spare_parts_time_shift,true,typed,mem_55a21d11ab834b02f3808631,authorized:auth_parts,procurement_v1_spare_parts_time_shift_amount,procurement_v1_spare_parts_time_shift_amount_out,profile_bbb79a3e91558be4f228ee62,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_858f59d5430ae1d736453ad1,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_parts,false,no_matching_authorization:auth_parts=time_out_of_scope,procurement_v1_spare_parts_time_shift,true,incremental_typed,time,procurement,[],procurement_v1_spare_parts_time_shift,true,typed,mem_55a21d11ab834b02f3808631,authorized:auth_parts,procurement_v1_spare_parts_time_shift_time,procurement_v1_spare_parts_time_shift_time_out,profile_bbb79a3e91558be4f228ee62,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_858f59d5430ae1d736453ad1,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_parts,false,no_matching_authorization:auth_parts=category_out_of_scope,procurement_v1_spare_parts_time_shift,true,incremental_typed,category,procurement,[],procurement_v1_spare_parts_time_shift,true,typed,mem_55a21d11ab834b02f3808631,authorized:auth_parts,procurement_v1_spare_parts_time_shift_category,procurement_v1_spare_parts_time_shift_category_out,profile_bbb79a3e91558be4f228ee62,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_858f59d5430ae1d736453ad1,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_replacement,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=amount_out_of_scope,procurement_v1_hardware_revoke_replace,true,incremental_typed,amount,procurement,[],procurement_v1_hardware_revoke_replace,true,typed,mem_319ddc72443d8ca2fff67e8a,authorized:auth_replacement,procurement_v1_hardware_revoke_replace_amount,procurement_v1_hardware_revoke_replace_amount_out,profile_7592c9b69ebe389cbddefe16,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_3e0d13ad8a6323b435037b37,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_replacement,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=category_out_of_scope,procurement_v1_hardware_revoke_replace,true,incremental_typed,category,procurement,[],procurement_v1_hardware_revoke_replace,true,typed,mem_319ddc72443d8ca2fff67e8a,authorized:auth_replacement,procurement_v1_hardware_revoke_replace_category,procurement_v1_hardware_revoke_replace_category_out,profile_7592c9b69ebe389cbddefe16,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_3e0d13ad8a6323b435037b37,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_initial,false,no_matching_authorization:auth_initial=amount_out_of_scope,procurement_v1_staffing_category_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_staffing_category_narrowing,true,typed,mem_fe8ca938b5541159590bafa1,authorized:auth_initial,procurement_v1_staffing_category_narrowing_amount,procurement_v1_staffing_category_narrowing_amount_out,profile_c482f5c7b303fd42e94608e3,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_4b984b30a2d8f80432ea2e34,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_initial,false,no_matching_authorization:auth_initial=category_out_of_scope,procurement_v1_staffing_category_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_staffing_category_narrowing,true,typed,mem_fe8ca938b5541159590bafa1,authorized:auth_initial,procurement_v1_staffing_category_narrowing_category,procurement_v1_staffing_category_narrowing_category_out,profile_c482f5c7b303fd42e94608e3,[],false,5,procurement:grok_4_3_openrouter,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-010130-962971__authorization-memory-writer__procurement-v1-transfer-grok-4-3,state_4b984b30a2d8f80432ea2e34,accepted,non_authorization_update,5,incremental,Grok 4.3,x-ai/grok-4.3,openrouter,0,20260719,grok_4_3_openrouter
auth_print,false,no_matching_authorization:auth_print=amount_out_of_scope,procurement_v1_print_budget_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_print_budget_narrowing,true,typed,mem_36a934f7961778b52817c4fe,authorized:auth_print,procurement_v1_print_budget_narrowing_amount,procurement_v1_print_budget_narrowing_amount_out,profile_dab74ae26ac8b9766b169880,[],false,4,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_30655b55fe4b7d6cf43906ac,accepted,non_authorization_update,4,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_print,false,no_matching_authorization:auth_print=category_out_of_scope,procurement_v1_print_budget_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_print_budget_narrowing,true,typed,mem_36a934f7961778b52817c4fe,authorized:auth_print,procurement_v1_print_budget_narrowing_category,procurement_v1_print_budget_narrowing_category_out,profile_dab74ae26ac8b9766b169880,[],false,4,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_30655b55fe4b7d6cf43906ac,accepted,non_authorization_update,4,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_initial,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=amount_out_of_scope,procurement_v1_calibration_revoke_replace,true,incremental_typed,amount,procurement,[],procurement_v1_calibration_revoke_replace,true,typed,mem_b020ee83b09bf48b115e123a,authorized:auth_initial,procurement_v1_calibration_revoke_replace_amount,procurement_v1_calibration_revoke_replace_amount_out,profile_83de6806ee776b0947a0037d,[],false,4,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_cbb716a475e0b79b5df7c125,accepted,non_authorization_update,4,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_cloud_01,false,no_matching_authorization:auth_cloud_01=amount_out_of_scope,procurement_v1_cloud_spend_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_cloud_spend_narrowing,true,typed,mem_12bd45094a52d377c90dd634,authorized:auth_cloud_01,procurement_v1_cloud_spend_narrowing_amount,procurement_v1_cloud_spend_narrowing_amount_out,profile_bd75a88154527699cd747bb9,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_816a1d195a1d39e44dc56156,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_cloud_01,false,no_matching_authorization:auth_cloud_01=category_out_of_scope,procurement_v1_cloud_spend_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_cloud_spend_narrowing,true,typed,mem_12bd45094a52d377c90dd634,authorized:auth_cloud_01,procurement_v1_cloud_spend_narrowing_category,procurement_v1_cloud_spend_narrowing_category_out,profile_bd75a88154527699cd747bb9,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_816a1d195a1d39e44dc56156,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_freight,false,no_matching_authorization:auth_freight=amount_out_of_scope,procurement_v1_freight_vendor_change,true,incremental_typed,amount,procurement,[],procurement_v1_freight_vendor_change,true,typed,mem_9386897f8a9280340e6673b7,authorized:auth_freight,procurement_v1_freight_vendor_change_amount,procurement_v1_freight_vendor_change_amount_out,profile_1064e37ea6d77d6c0c86851f,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_ee69cf181b1181b91fadd4f3,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_replacement,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=amount_out_of_scope,procurement_v1_hardware_revoke_replace,true,incremental_typed,amount,procurement,[],procurement_v1_hardware_revoke_replace,true,typed,mem_cd5a240fd750c85aaa2b1b94,authorized:auth_replacement,procurement_v1_hardware_revoke_replace_amount,procurement_v1_hardware_revoke_replace_amount_out,profile_9f8357a86b00db268a2a86d0,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_0431b2996edb9b03f86752ae,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_replacement,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=time_out_of_scope,procurement_v1_hardware_revoke_replace,true,incremental_typed,time,procurement,[],procurement_v1_hardware_revoke_replace,true,typed,mem_cd5a240fd750c85aaa2b1b94,authorized:auth_replacement,procurement_v1_hardware_revoke_replace_time,procurement_v1_hardware_revoke_replace_time_out,profile_9f8357a86b00db268a2a86d0,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_0431b2996edb9b03f86752ae,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_replacement,false,no_matching_authorization:auth_initial=status_superseded;auth_replacement=category_out_of_scope,procurement_v1_hardware_revoke_replace,true,incremental_typed,category,procurement,[],procurement_v1_hardware_revoke_replace,true,typed,mem_cd5a240fd750c85aaa2b1b94,authorized:auth_replacement,procurement_v1_hardware_revoke_replace_category,procurement_v1_hardware_revoke_replace_category_out,profile_9f8357a86b00db268a2a86d0,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_0431b2996edb9b03f86752ae,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_initial,false,no_matching_authorization:auth_initial=amount_out_of_scope,procurement_v1_staffing_category_narrowing,true,incremental_typed,amount,procurement,[],procurement_v1_staffing_category_narrowing,true,typed,mem_5da381a62e5a33520eacb193,authorized:auth_initial,procurement_v1_staffing_category_narrowing_amount,procurement_v1_staffing_category_narrowing_amount_out,profile_ad5ea92279f7f00398d8e88a,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_70b76235d14bca2ae36aadf7,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_initial,false,no_matching_authorization:auth_initial=category_out_of_scope,procurement_v1_staffing_category_narrowing,true,incremental_typed,category,procurement,[],procurement_v1_staffing_category_narrowing,true,typed,mem_5da381a62e5a33520eacb193,authorized:auth_initial,procurement_v1_staffing_category_narrowing_category,procurement_v1_staffing_category_narrowing_category_out,profile_ad5ea92279f7f00398d8e88a,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_70b76235d14bca2ae36aadf7,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_parts,false,no_matching_authorization:auth_parts=amount_out_of_scope,procurement_v1_spare_parts_time_shift,true,incremental_typed,amount,procurement,[],procurement_v1_spare_parts_time_shift,true,typed,mem_0a20a2cafaa93b9efb18940c,authorized:auth_parts,procurement_v1_spare_parts_time_shift_amount,procurement_v1_spare_parts_time_shift_amount_out,profile_a4ef47e8dcd7569465009838,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_04836827f65faf98ffe49c8b,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
auth_parts,false,no_matching_authorization:auth_parts=time_out_of_scope,procurement_v1_spare_parts_time_shift,true,incremental_typed,time,procurement,[],procurement_v1_spare_parts_time_shift,true,typed,mem_0a20a2cafaa93b9efb18940c,authorized:auth_parts,procurement_v1_spare_parts_time_shift_time,procurement_v1_spare_parts_time_shift_time_out,profile_a4ef47e8dcd7569465009838,[],false,5,procurement:kimi_baseten,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260809-112937-803837__authorization-memory-writer__procurement-v1-transfer-kimi-k2-6-technical-completion,state_04836827f65faf98ffe49c8b,accepted,non_authorization_update,5,incremental,Kimi K2.6,moonshotai/Kimi-K2.6,baseten,0,20260719,kimi_baseten
