at_risk,censored_events,ci_high,ci_low,cluster_count,cluster_unit,domain,episode_count,estimator,failure_category,lag_updates,repair_events,scope,survival_rate,triggering_event_type
12,0,1.0,0.8125,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,2,0,failure_category,0.9230769230769231,
12,0,0.9166666666666666,0.4166666666666667,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,3,3,failure_category,0.6923076923076923,
9,0,0.6363636363636364,0.0,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,4,5,failure_category,0.30769230769230765,
4,1,0.27272727272727276,0.0,10,domain_case_family,,14,kaplan_meier,inactive_record_retention,5,3,failure_category,0.07692307692307691,
73,0,1.0,1.0,16,domain_case_family,,73,kaplan_meier,record_lineage_error,0,0,failure_category,1.0,
51,0,1.0,1.0,16,domain_case_family,,73,kaplan_meier,record_lineage_error,1,0,failure_category,1.0,
51,0,1.0,0.9318181818181819,16,domain_case_family,,73,kaplan_meier,record_lineage_error,2,1,failure_category,0.9803921568627451,
50,0,1.0,0.9318181818181819,16,domain_case_family,,73,kaplan_meier,record_lineage_error,3,0,failure_category,0.9803921568627451,
50,0,1.0,0.9019607843137255,16,domain_case_family,,73,kaplan_meier,record_lineage_error,4,1,failure_category,0.9607843137254901,
49,0,1.0,0.9019607843137255,16,domain_case_family,,73,kaplan_meier,record_lineage_error,5,0,failure_category,0.9607843137254901,
49,0,1.0,0.8775510204081634,16,domain_case_family,,73,kaplan_meier,record_lineage_error,6,1,failure_category,0.9411764705882352,
48,0,0.2745619524405504,0.11534090909090906,16,domain_case_family,,73,kaplan_meier,record_lineage_error,7,38,failure_category,0.19607843137254902,
10,10,0.2745619524405504,0.11534090909090906,16,domain_case_family,,73,kaplan_meier,record_lineage_error,8,0,failure_category,0.19607843137254902,
