condition,writer_target,writer,cluster_id,case_id,from_block_index,to_block_index,transition,previous_state,current_state,triggering_event_type
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,4,5,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,2,3,C→C,C,C,scope_transition
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,3,4,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,4,5,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,3,4,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,4,5,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,2,3,C→I,C,I,revocation
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,3,4,I→I,I,I,replacement
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,4,5,I→I,I,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,1,2,C→C,C,C,revocation
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,2,3,C→C,C,C,replacement
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,3,4,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,0,1,C→C,C,C,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,4,5,C→I,C,I,non_authorization_update
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,0,1,C→I,C,I,grant
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,1,2,I→I,I,I,revocation
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,2,3,I→I,I,I,replacement
capacity_2x,nemotron_3_ultra_baseten,Nemotron 3 Ultra,nemotron_3_ultra_baseten:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,3,4,I→I,I,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_software_license_grant,procurement_v1_software_license_grant,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_software_license_grant,procurement_v1_software_license_grant,2,3,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_software_license_grant,procurement_v1_software_license_grant,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,2,3,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,4,5,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,4,5,I→I,I,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,2,3,C→C,C,C,scope_transition
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,4,5,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,4,5,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,2,3,C→C,C,C,revocation
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,3,4,C→C,C,C,replacement
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,4,5,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,1,2,C→I,C,I,revocation
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,2,3,I→I,I,I,replacement
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_calibration_revoke_replace,procurement_v1_calibration_revoke_replace,3,4,I→I,I,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_staffing_category_narrowing,procurement_v1_staffing_category_narrowing,4,5,C→I,C,I,non_authorization_update
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,1,2,C→I,C,I,revocation
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,2,3,I→I,I,I,replacement
capacity_2x,grok_4_3_openrouter,Grok 4.3,grok_4_3_openrouter:procurement_v1_relocation_revoke_replace,procurement_v1_relocation_revoke_replace,3,4,I→I,I,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,2,3,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_software_license_grant,procurement_v1_software_license_grant,3,4,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,2,3,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,3,4,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_facilities_emergency_grant,procurement_v1_facilities_emergency_grant,4,5,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,3,4,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_cloud_spend_narrowing,procurement_v1_cloud_spend_narrowing,4,5,C→I,C,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_reagent_window_narrowing,procurement_v1_reagent_window_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,0,1,C→I,C,I,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,1,2,I→I,I,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,2,3,I→I,I,I,narrowing
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_catering_category_narrowing,procurement_v1_catering_category_narrowing,3,4,I→I,I,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,2,3,C→C,C,C,scope_transition
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,3,4,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_freight_vendor_change,procurement_v1_freight_vendor_change,4,5,C→I,C,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,2,3,C→C,C,C,narrowing
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_print_budget_narrowing,procurement_v1_print_budget_narrowing,3,4,C→I,C,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,2,3,C→C,C,C,narrowing
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,3,4,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_spare_parts_time_shift,procurement_v1_spare_parts_time_shift,4,5,C→I,C,I,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,0,1,C→C,C,C,grant
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,1,2,C→C,C,C,non_authorization_update
capacity_2x,kimi_baseten,Kimi K2.6,kimi_baseten:procurement_v1_hardware_revoke_replace,procurement_v1_hardware_revoke_replace,2,3,C→I,C,I,revocation
